acronym,expansion,anchor_sentence
MDC,metering data collector,"Thus , the Dispatcher simply implements a layer of communication with the bus via ZeroMQ and communicates with the MDC through simple sockets ."
MDC,mobile data challenge,"@X rrr@ & & & Social circle size , & & & Activity space size , & & & New ties / week , & & & New locations / week , & & & Social circle entropy , & & & Activity space entropy , & & & Social circle stability , & & & Activity space stability , & & & Social circle rank turnover , & & & Activity space rank turnover , & & & MDC dataset : Persistence of social and spatial behaviour ."
MDC,multiple description coding,"Although "" Ours - mr "" is trained with MR - SSIM instead of MS - SSIM , both the MR - SSIM and MS - SSIM results of several comparative MDC approaches are provided in Fig ."
SVM,support vector machine,We show that the best feature representation produced by ResNet outperforms several baselines for image privacy prediction that consider CNN - based models and SVM models trained on traditional visual features such as SIFT and global GIST descriptor .
MER,maximum entropy regularizer,The y - axis indicates the gain in accuracy over without the MER and the DOS .
MER,music emotion research,"IntroductionAutomatic music emotion recognition ( MER ) aims at modeling the association between music and emotion so as to facilitate emotion - based music organization , indexing , and retrieval ."
CNN,convolutional neural network,"We start with "" AlexNet "" as our base CNN and then examine the broad variations proposed over time to suit different applications ."
CNN,condensed nearest neighbor,Perhaps the existence of this bound may help explain CNN 's empirical success .
CNN,citation nearest neighbour,"However , it is possible that the optimal method of combination of these diverse views ( as represented by the CNN models in the ensemble ) calls for a greater degree of complexity than a voting scheme ."
FEC,forward error correction,"Objectives and ContributionsThe main goals of this thesis are to define a method which enables the characterization of the motion intensity in arbitrary video sequences and also to design , implement , and assess several FEC - based mechanisms with content - awareness to enhance the quality of video delivery from the point - of - view of end - users over diverse types of wireless networks ."
FEC,federal election candidate,Providing a consistent and easy to reference identifier such as FEC or EIN for each sponsor enables us to better study sponsors in Google and Twitter 's archive .
FSM,finite state machine,FoundryThe combinational logic locking and FSM locking consider an offshore foundry as the primary source of threat in the supply chain .
FSM,fast sweeping method,"Some algorithms become unstable with non - uniform velocities : FSM , LSM and DDQM ."
LDA,latent dirichlet allocation,"The experiment in indicates that using the Dirichlet prior directly in VAE produces lower perplexity than that of , and the model also has the ability to further fine - tune the parameters of the Dirichlet prior , which has proven to greatly improve the performance of LDA ."
LDA,linear discriminant analysis,"LADA Similar to LDA , ADA is a "" global "" projection in that it does not specifically promote preservation of local ( neighborhood ) angular relationships under the projection ."
FR,frame recall,"However , there is a clear difference in the DOA metrics : in our method , DOA error is reduced by a factor of 2.6 , but FR is points worst ."
FR,fooling rate,More people choosing the generated palette results in a higher FR .
TF,term frequency,"In the first phase , we examined how differences in the vector space representations might affect the performance of the ranking methods , comparing the binary , TF , and TF - IDF representations in combination with either threshold or T - SVD feature reduction ."
TF,trend filtering,Then Theorem 10 of states that the cumulative composite cost incurred by their proposed policy differs from that of the TF estimate by a term that is .
TF,tensor factorization,"Formally , TF factorizes a tensor into three different matrices , and , where is the number of latent factors ( indexed by ) ."
TF,transcription factor,"We arranged lists of p - value by descending order and we calculated AUC for each list to identify the importance of each factor ( TF , disease and DEG ) for determining which microRNA is associated with breast cancer ."
SS,speech synthesis,The overall performance is poor as SS and VC data of BTAS 2016 test set consist of replayed version of SS and VC attacks as oppose to the ASVspoof database .
SS,single stage,tabletabularccccModel Name & Network & Data & Error ( mm ) Model0 & SS & RD & 18.93 Model1 & TS & RD & 16.50 Model2 & SS & RD+SD+MD+ND & 15.73 Model3 & TS & RD+SD+MD+ND & 13.66 tabular tab : all_result Experiments of different configuration of our method .
SS,stochastic search,"Among all the models , SS provided the best performance ."
SS,social status,"The following Tables ( Table and Table ) are the result of the performance evaluations of SS - Filtering considering indegree and outdegree ( i.e. , without or with ) ."
SS,spectrum sensing,"In the context of spectrum sensing ( SS case ) , the parameters and can be mapped into a maximization of the overall weighted network throughput ( see ) : the reward can be proportional to the achievable rate over the channel in the absence of PU communications , i.e. ( where the suffix indicates the secondary communication ) , whereas the penalty can be made proportional to the loss in rate caused to the primary communication , due to the interference added by the secondary ."
SS,severe sepsis,"Here , Det = Detection , Pred = Prediction , S = Sepsis , SS = Severe Sepsis , SK = Septic Shock , MLP = Multilayer Perceptron , LR = Logistic Regression , XGB = XGBoost , RF = Random Forest ."
SS,scheduled sampling,We find that static and exponential settings for both SS and NNRS show best performance and converge quicker .
SS,simple sum,Scenario 1:Fusion of FPDS1 and FVDS1This case shows the fusion performance of finger - vein dataset FVDS1 and fingerprint dataset FPDS1 using Hyperbolic Tangent estimators ( TanH ) normalization and Simple Sum ( SS ) .
GPS,global positioning system,The in - built GPS receiver in the smartphone is used to get the GPS coordinates of the users who reports to be likely infected with dengue fever .
GPS,general pattern search,"For the successful iterates we do not further increase the length of our moves by limiting as follows : Similarly , for the unsuccessful iterations we halve the distance by a factor of by setting as it is shown next : A short description of our algorithm as a GPS method for solving the problem stated in Eq ."
PCA,principal component analysis,"displays one example of results obtained with PCA , with the LSTM - AE and with the VAE ( with ) , with an encoding dimension of ."
PCA,posterior cortical atrophy,"When predicting missing DTI markers of the TADPOLE cortical subgroup as well as PCA subjects from the DRC cohort ( Table ) , the DKT correlations are generally high for the cingulate , hippocampus and parietal , and lower for the frontal lobe ."
MSE,mean squared error,"For example , if the predictions correspond to walking at a slower pace , the joint angles will be misaligned ( frequency - shift ) and MSE computed will diverge over time ."
MSE,model selection eqn,Figure -(b ) similarly shows the MSE of the decoded signals eqn : MSE : SCS:2gaussians ( normalized by the ideal signal energy ) .
MSE,minimum square error,The MSE aims to provide a quantitative score that represents the similarity or distortion between the two signals .
ILP,inductive logic programming,Table tbl : gene compares the performance of dNL - ILP to the two state of the art algorithms NARROMIzhang2012narromi and MICRATyang2018micrat for 10-gene classification tasks of DREAM4 dataset .
ILP,integer linear programming,"The Schnyder and left - right edge coloring PBS formulations usually beat their ILP counterparts , indicating that their LP relaxations are rather weak ."
MTI,mixture time invariant,"This means that the historical group memberships influence the distribution of the current ones , in the MTV and MTI models , through the Dirichlet process parameters and the group - specific ( and time - invariant ) membership probabilities , respectively ."
MTI,medical text indexer,These keywords are identified using the Medical Text Indexer ( MTI ) .
SNN,siamese neural network,The idea behind SNN is that it tries to use twin or half - twin network to compare the input images .
SNN,spiking neural networks,"The hypothesis for our experiment is – if precise spike - times were important in N - MNIST , our SNN would perform poorly in the rate - based regime ."
SOP,sentence order prediction,"In SOP , two sentences are either consecutive or swapped ."
