acronym_,expansion,id,text
SVM,support vector machine,EXT,"The support-vector clustering algorithm, created by Hava Siegelmann and Vladimir Vapnik, applies the statistics of support vectors, developed in the SVMs algorithm, to categorize unlabeled data, and is one of the most widely used clustering algorithms in industrial applications."
SVM,support vector machine,EXT,Some methods for shallow semantic parsing are based on SVMs.
SVM,support vector machine,EXT,The soft-margin SVM described above is an example of an empirical risk minimization  algorithm for the hinge loss.
SVM,support vector machine,EXT,"Seen this way, SVMs belong to a natural class of algorithms for statistical inference, and many of its unique features are due to the behavior of the hinge loss."
SVM,support vector machine,EXT,"Florian Wenzel developed two different versions, a variational inference  scheme for the Bayesian kernel SVM  and a stochastic version  for the linear Bayesian SVM."
CNN,convolutional neural network,EXT,"In deep learning, a CNN  is a class of deep neural networks, most commonly applied to analyzing visual imagery."
CNN,convolutional neural network,EXT,The name “CNN” indicates that the network employs a mathematical operation called convolution.
CNN,convolutional neural network,EXT,"A CNN consists of an input and an output layer, as well as multiple hidden layers."
CNN,convolutional neural network,EXT,"The ability to process higher resolution images requires larger and more layers of CNNs, so this technique is constrained by the availability of computing resources.


="
CNN,convolutional neural network,EXT,The feed-forward architecture of CNNs was extended in the neural abstraction pyramid by lateral and feedback connections.
CNN,convolutional neural network,EXT,"A notable development is a parallelization method for training CNNs on the Intel Xeon Phi, named Controlled Hogwild with Arbitrary Order of Synchronization ."
CNN,convolutional neural network,EXT,This is the idea behind the use of pooling in CNNs.
CNN,convolutional neural network,EXT,Pooling is an important component of CNNs for object detection based on Fast R-CNN architecture.
CNN,convolutional neural network,EXT,That performance of CNNs on the ImageNet tests was close to that of humans.
CNN,convolutional neural network,EXT,"For example, they are not good at classifying objects into fine-grained categories such as the particular breed of dog or species of bird, whereas CNNs handle this."
CNN,convolutional neural network,EXT,"Another way is to fuse the features of two CNNs, one for the spatial and one for the temporal stream."
CNN,convolutional neural network,EXT,"From 1999 to 2001, Fogel and Chellapilla published papers showing how a CNN could learn to play checker using co-evolution."
CNN,convolutional neural network,EXT,"Later it was announced that a large 12-layer CNN had correctly predicted the professional move in 55% of positions, equalling the accuracy of a 6 dan human player."
CNN,convolutional neural network,EXT,Dilated convolutions might enable one-dimensional CNNs to effectively learn time series dependences.
CNN,convolutional neural network,EXT,Convolutional deep belief networks  have structure very similar to CNNs and are trained similarly to deep belief networks.
CNN,convolutional neural network,EXT,Caffe: A library for CNNs.
CNN,convolutional neural network,EXT,A high level API written in Python for TensorFlow and Theano CNNs.
FEC,forward error correction,EXT,"In telecommunication, information theory, and coding theory, FEC   or channel coding is a technique used for controlling errors in data transmission over unreliable or noisy communication channels."
FEC,forward error correction,EXT,"Most FEC codes correct only bit-flips, but not bit-insertions or bit-deletions."
FEC,forward error correction,EXT,"A few FEC codes are designed to correct bit-insertions and bit-deletions, such as Marker Codes and Watermark Codes."
FSM,fast sweeping method,EXT,"In applied mathematics, the FSM is a numerical method for solving boundary value problems of the Eikonal equation."
FSM,fast sweeping method,EXT,The FSM is an iterative method which uses upwind difference for discretization and uses Gauss–Seidel iterations with alternating sweeping ordering to solve the discretized Eikonal equation on a rectangular grid.
FSM,fast sweeping method,EXT,"Although FSMs have existed in control theory, it was first proposed for Eikonal equations by Hongkai Zhao, an applied mathematician at the University of California, Irvine."
LDA,linear discriminant analysis,EXT,"It has been suggested, however, that LDA be used when covariances are equal, and that quadratic discriminant analysis may be used when covariances are not equal."
LDA,linear discriminant analysis,EXT,"In bankruptcy prediction based on accounting ratios and other financial variables, LDA was the first statistical method applied to systematically explain which firms entered bankruptcy vs. survived."
TF,term frequency,EXT,"In information retrieval, tf–idf or TFIDF, short for TF–inverse document frequency, is a numerical statistic that is intended to reflect how important a word is to a document in a collection or corpus."
TF,term frequency,EXT,"To further distinguish them, we might count the number of times each term occurs in each document; the number of times a term occurs in a document is called its TF."
TF,term frequency,EXT,The weight of a term that occurs in a document is simply proportional to the TF.
TF,term frequency,EXT,"Because the term ""the"" is so common, TF will tend to incorrectly emphasize documents which happen to use the word ""the"" more frequently, without giving enough weight to the more meaningful terms ""brown"" and ""cow""."
TF,term frequency,EXT,"The tf–idf is the product of two statistics, TF and inverse document frequency."
