acronym,expansion,anchor_sentence
ES,ejection fraction:EF,"She also had coronary angiography, showing severe coronary artery disease, and she was also worked up for possible pulmonary embolism at this time, which was negative. Her ES by angiography was 65%, and there was moderate mitral regurgitation at this time. She presents at this time for elective coronary artery bypass grafting."
ES,(drug) ES,2. Triamterene with hydrochlorothiazide 75/50 p.o. q. day. 3. Loratadine 10 mg p.o. q. day. 4. Fenofibrate 50 mg p.o. q. day. 5. Nexium ES 40 mg p.o. b.i.d. 6. Hydrocortisone 1% cream to affected area b.i.d. 7. MetroCream 0.75% to affected area b.i.d. 8. Glipizide 5 mg p.o. b.i.d. 9. Atenolol 25 mg q. day.
ES,extra strength,"10. Aspirin 325 mg daily. 11. Robaxin 500 mg tablets one tablet every day 8 hours p.r.n., #15 tablets, no refills. 12. Vicodin ES one tablet q.i.d. p.r.n. only, #16 with no refills. PRINCIPAL DIAGNOSES: 1. Acute intractable low back pain. 2. Extensive osteoarthritis of lumbar spine and degenerative disc disease, but nothing acute on the MRI."
ES,enhanced sensitivity,"LABORATORY AND IMAGING STUDIES: Blood and urine cultures are pending. Carbon monoxide level is 3 (the patient stated that he may have had some exposure to it). Troponin ES is less than 0.012, myoglobin 37. Lipase is 33. Albumin is 4.7. LFTs within normal limits. Electrolytes unremarkable. White count is elevated at 20,800, hemoglobin is elevated at 17.9, platelets 290,000, MCV elevated at 101."
ES,erythrocyte sedimentation rate:ESR,"CT of the chest was performed and was negative for any PE. She had a D-dimer of 17.3, a CRP of 15.9, a ES of 85, INR 1.24 and a PTT of 54. Alkaline phosphatase was 246, AST and ASG were normal, lipase was 619, and amylase was 105."
ES,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
ITP,idiopathic thrombocytopenic purpura,PAST SURGICAL HISTORY: As above. SOCIAL HISTORY: Previous smoker with 22-pack years. Denies current alcohol or IV drug use. PAST MEDICAL HISTORY: 1. Hepatitis C diagnosed in 2002. 2. ITP. 3. Cirrhosis. 4. Diabetes type 2. 5. Cholecystitis. REVIEW OF SYSTEMS: The patient's urologic review of symptoms is negative except as above HPI and 12-point review of symptoms is negative otherwise.
LA,long-acting,She is ambulating with the use of a walker. She is considering a nursing home in the future. DISCHARGE MEDICATIONS: 1. Inderal 100 mg p.o. t.i.d. 2. Detrol LA 4 mg p.o. daily. 3. Combivent 1-2 puffs inhaled twice daily. 4. Calcitonin spray 1 spray to each nostril daily. 5. Tylenol 325-650 mg p.o. every 4-6 hours as needed for pain or fever.
LA,UNSURED SENSE,"Scaled scores between 9 and 11 ar4e considered average. _%#NAME#%_'s ability to recall verbal information presented in the context of short stories was age-appropriate, both immediately (SS = 11) and after a longer delay (SS = 11). His ability to learn a discreet word list (16 words) over 4 consecutive trials was also average. After immediate exposure (SS = 9) and again after a longer delay (SS = 9). _%#NAME#%_'s visual memory skills were assessed using a subtest entitled Picture Memory, in which he was shown pictures of everyday scenes and then shown a similar picture and asked to mark any changes between the pictures."
LA,Los Angeles,"Her band was deflated and treated medically with proton pump inhibitor. She was rescoped and found to be improved. She went from LA grade C to an LA grade A and her band was reinitiated on the _%#MMDD2006#%_. She now presents to the emergency department with 5-day history of pain, vomiting, seen in the University of Minnesota ED on Thursday."
LA,antinuclear antibody:ANA,"Total cholesterol 131, LDL 56, triglycerides 147, HDL 46, blood cultures no growth to date. Lupus inhibitor battery is negative. IGG was normal. SSB LA antibody, IGG normal. DNA double stranded negative at 4 international units per ml, C3 and C4 levels 136 and 15 respectively and both normal."
